optimizer,epoch,loss,accuracy,f1_score,loss_std_err,accuracy_std_err,f1_score_std_err
milo_LW_momentum_0.9,1,0.06981380416877786,98.93333333333334,0.9892334019886931,0.00430719627798973,0.07650344945019014,0.000765528369886778
milo_LW_momentum_0.9,2,0.008372243088905095,99.78333333333335,0.9978198247596962,0.0010038492595444333,0.032787192621511245,0.00033366066270186116
milo_LW_momentum_0.9,3,0.0017488371582620671,99.94833333333334,0.9994786934527363,0.0002865631202312255,0.011824331474330912,0.00011858919415848469
milo_LW_momentum_0.9,4,0.000230253546163226,99.99166666666667,0.9999160812683457,0.00015386022470368735,0.006009252125772449,6.0545734981824666e-05
milo_LW_momentum_0.9,5,6.0154712091229116e-05,99.99833333333333,0.9999829634273558,5.23079213912626e-05,0.001666666666665151,1.7036572644106112e-05
milo_LW_momentum_0.9,6,5.0871826286376e-06,100.0,1.0,3.03358052341415e-06,0.0,0.0
milo_LW_momentum_0.9,7,1.9140423150198495e-06,100.0,1.0,7.442896755685486e-07,0.0,0.0
milo_LW_momentum_0.9,8,1.4453718938467672e-06,100.0,1.0,5.184762864260999e-07,0.0,0.0
milo_LW_momentum_0.9,9,1.2067833833870149e-06,100.0,1.0,3.704190280256397e-07,0.0,0.0
milo_LW_momentum_0.9,10,1.0656290682645654e-06,100.0,1.0,2.969819462506273e-07,0.0,0.0
milo_LW_momentum_0.9,11,9.870487812295024e-07,100.0,1.0,2.662691640375893e-07,0.0,0.0
milo_LW_momentum_0.9,12,9.228374182145652e-07,100.0,1.0,2.437076446568224e-07,0.0,0.0
milo_LW_momentum_0.9,13,8.759636913082779e-07,100.0,1.0,2.31280194047326e-07,0.0,0.0
milo_LW_momentum_0.9,14,8.316706075187913e-07,100.0,1.0,2.1500392569949448e-07,0.0,0.0
milo_LW_momentum_0.9,15,7.931429404447639e-07,100.0,1.0,2.035715846601721e-07,0.0,0.0
milo_LW_momentum_0.0,1,0.001303760400620446,99.96555555555555,0.9996512130766595,0.0010044472765192195,0.024463376507001127,0.0002475867601823347
milo_LW_momentum_0.0,2,4.5441428754523924e-05,99.99833333333333,0.9999828597936053,4.413513311265151e-05,0.001666666666665151,1.714020639457618e-05
milo_LW_momentum_0.0,3,1.804549604043536e-06,100.0,1.0,1.1517932688440055e-06,0.0,0.0
milo_LW_momentum_0.0,4,1.0642053692000688e-06,100.0,1.0,5.347134290539907e-07,0.0,0.0
milo_LW_momentum_0.0,5,8.793204422922369e-07,100.0,1.0,4.014540615171599e-07,0.0,0.0
milo_LW_momentum_0.0,6,7.836027568337221e-07,100.0,1.0,3.4313977704531496e-07,0.0,0.0
milo_LW_momentum_0.0,7,7.171155474097586e-07,100.0,1.0,3.0556197512537984e-07,0.0,0.0
milo_LW_momentum_0.0,8,6.644528459838107e-07,100.0,1.0,2.750674377457944e-07,0.0,0.0
milo_LW_momentum_0.0,9,6.218768870095204e-07,100.0,1.0,2.5110142327320803e-07,0.0,0.0
milo_LW_momentum_0.0,10,5.885574668167316e-07,100.0,1.0,2.3354600559345358e-07,0.0,0.0
milo_LW_momentum_0.0,11,5.584481089996589e-07,100.0,1.0,2.1709983194766332e-07,0.0,0.0
milo_LW_momentum_0.0,12,5.341499467395039e-07,100.0,1.0,2.0529684369366556e-07,0.0,0.0
milo_LW_momentum_0.0,13,5.116939792194507e-07,100.0,1.0,1.9350590579187137e-07,0.0,0.0
milo_LW_momentum_0.0,14,4.922324816310288e-07,100.0,1.0,1.8367594758865413e-07,0.0,0.0
milo_LW_momentum_0.0,15,4.751587141597389e-07,100.0,1.0,1.751514807667829e-07,0.0,0.0
milo_LW_momentum_0.45,1,0.0034332338819696617,99.92055555555555,0.9991979547170767,0.0014543494905366952,0.022138732050190738,0.00022693913056596722
milo_LW_momentum_0.45,2,6.860291115015196e-05,99.99944444444445,0.9999942070490869,5.175282153769381e-05,0.0005555555555550503,5.7929509129639464e-06
milo_LW_momentum_0.45,3,1.3617591015565957e-06,100.0,1.0,1.508455931050441e-07,0.0,0.0
milo_LW_momentum_0.45,4,5.963078523354031e-07,100.0,1.0,1.8376218323633027e-08,0.0,0.0
milo_LW_momentum_0.45,5,5.045293392821214e-07,100.0,1.0,1.6216356092426113e-08,0.0,0.0
milo_LW_momentum_0.45,6,4.5512746540524856e-07,100.0,1.0,1.2538737941803549e-08,0.0,0.0
milo_LW_momentum_0.45,7,4.189262763531253e-07,100.0,1.0,1.0439626147988036e-08,0.0,0.0
milo_LW_momentum_0.45,8,3.9242095050878354e-07,100.0,1.0,9.81273524521593e-09,0.0,0.0
milo_LW_momentum_0.45,9,3.7068296398127627e-07,100.0,1.0,8.384731814017092e-09,0.0,0.0
milo_LW_momentum_0.45,10,3.518964900849476e-07,100.0,1.0,7.582520337917481e-09,0.0,0.0
milo_LW_momentum_0.45,11,3.359430801268104e-07,100.0,1.0,6.6969944082189e-09,0.0,0.0
milo_LW_momentum_0.45,12,3.221226730356284e-07,100.0,1.0,6.443328771748038e-09,0.0,0.0
milo_LW_momentum_0.45,13,3.1017901321226144e-07,100.0,1.0,5.936345798798241e-09,0.0,0.0
milo_LW_momentum_0.45,14,2.995598567859285e-07,100.0,1.0,5.392071964726743e-09,0.0,0.0
milo_LW_momentum_0.45,15,2.8968241022775646e-07,100.0,1.0,4.963203090526712e-09,0.0,0.0
